product_category_name_english,orders,revenue,avg_price,order_percentage
agro_industry_and_commerce,177,70566.1,342.55388349514567,0.1839859463842084
air_conditioning,242,51974.27,184.9618149466192,0.2515514069207821
art,195,23657.3,120.08781725888325,0.20269638160972112
arts_and_craftmanship,23,1814.01,75.58375,0.023907778343710693
audio,346,50413.61,140.03780555555556,0.3596561437793
auto,3801,577721.09,139.85017913338174,3.9510202384541024
baby,2800,399050.67,134.31527095254123,2.910512146190867
bed_bath_table,9267,1022955.77,93.46329556875286,9.63275573526813
books_general_interest,495,45256.25,84.43330223880596,0.5145369687015997
books_imported,50,4418.86,77.5238596491228,0.05197343118197977
books_technical,256,18702.23,71.11114068441064,0.26610396765173644
cds_dvds_musicals,12,730.0,52.142857142857146,0.012473623483675146
christmas_supplies,125,8737.84,58.25226666666667,0.12993357795494945
cine_photo,63,6674.47,95.34957142857144,0.06548652328929451
computers,177,218684.14,1098.9152763819095,0.1839859463842084
computers_accessories,6517,887944.6,116.36018870397065,6.774217020259243
consoles_games,1011,144384.01,133.44178373382627,1.050902778499631
construction_tools_construction,736,142108.49,155.14027292576418,0.7650489069987422
construction_tools_lights,242,39957.0,132.74750830564784,0.2515514069207821
construction_tools_safety,159,38773.22,211.87551912568307,0.16527551115869568
cool_stuff,3552,609158.0,164.14928590676368,3.692192551167843
costruction_tools_garden,190,25096.28,108.17362068965517,0.19749903849152314
costruction_tools_tools,97,15903.95,154.40728155339806,0.10082845649304074
diapers_and_hygiene,24,1365.8899999999999,37.94138888888889,0.024947246967350293
drinks,287,21529.84,59.6394459833795,0.2983274949845639
dvds_blu_ray,56,4542.59,74.46868852459016,0.058210242923817344
electronics,2516,154935.94,56.79469941348974,2.615303057077222
fashio_female_clothing,35,2580.04,58.63727272727272,0.03638140182738584
fashion_bags_accessories,1812,148945.19,75.37712044534413,1.883517146034947
fashion_childrens_clothes,7,519.95,74.27857142857144,0.007276280365477168
fashion_male_clothing,105,10427.43,84.09217741935484,0.10914420548215752
fashion_shoes,234,22971.47,89.7323046875,0.24323565793166532
fashion_sport,26,2094.52,72.2248275862069,0.02702618421462948
fashion_underwear_beach,117,9305.95,73.27519685039371,0.12161782896583266
fixed_telephony,207,54610.33,218.44132000000002,0.21517000509339626
flowers,29,1110.04,33.63757575757575,0.03014459008554827
food,440,28651.25,57.532630522088354,0.45736619440142195
food_drink,221,14942.88,55.54973977695167,0.2297225658243506
furniture_bedroom,90,19051.8,184.96893203883494,0.09355217612756359
furniture_decor,6258,706237.17,87.24362816553429,6.504994646736588
furniture_living_room,414,67350.7,136.0620202020202,0.4303400101867925
furniture_mattress_and_upholstery,37,4323.38,116.84810810810811,0.038460339074665034
garden_tools,3443,469135.4,110.04818203143327,3.578890471191127
health_beauty,8610,1229557.5,130.49856718318827,8.949824849536917
home_appliances,747,78832.48,104.55236074270556,0.7764830618587778
home_appliances_2,227,107953.95,467.3331168831169,0.23595937756618815
home_comfort_2,24,760.27,25.342333333333332,0.024947246967350293
home_confort,392,58008.450000000004,135.21783216783217,0.4074717004667214
home_construction,483,81407.57,136.58988255033557,0.5020633452179246
housewares,5734,614341.62,90.57078283945157,5.960313087949441
industry_commerce_and_business,228,37810.21,145.42388461538462,0.23699884618982775
kitchen_dining_laundry_garden_furniture,241,45531.98,166.1751094890511,0.2505119382971425
la_cuisine,13,2054.99,146.785,0.01351309210731474
luggage_accessories,1019,138701.63,128.78517177344474,1.0592185274887478
market_place,269,26880.48,91.43020408163265,0.27961705975905116
music,38,6034.35,158.79868421052632,0.03949980769830463
musical_instruments,611,184315.74,283.12709677419355,0.6351153290437928
office_furniture,1248,266853.43,160.56163056558364,1.297256842302215
party_supplies,38,4465.1900000000005,106.31404761904763,0.03949980769830463
perfumery,3060,385315.55,116.37437330111749,3.180773988337162
pet_shop,1684,211005.96,109.8989375,1.7504651622090788
security_and_services,2,283.28999999999996,141.64499999999998,0.002078937247279191
signaling_and_security,138,21315.05,108.1982233502538,0.14344667006226416
small_appliances,609,182754.12,277.74182370820665,0.6330363917965136
small_appliances_home_oven_and_coffee,72,46589.56,638.2131506849315,0.07484174090205087
sports_leisure,7512,952661.4,113.23682396291454,7.808488300780642
stationery,2264,223788.69,90.74967153284672,2.353356963920044
tablets_printing_image,79,7528.41,90.70373493975903,0.08211802126752804
telephony,4086,309631.94,70.02079149706016,4.247268796191387
toys,3781,466990.99,116.60199500624219,3.93023086598131
unknown,1410,175901.32,112.97451509312782,1.4656507593318295
watches_gifts,5489,1163187.91,198.73362549120108,5.7056432751577395
