year_month,orders,revenue,aov,MoM_growth,month_index,trend
2017-01,750,111798.36,149.06448,,0,1919.62857142857
2017-02,1653,234223.4,141.69594676346037,120.40000000000002,1,2223.893984962405
2017-03,2546,359198.85,141.0836017282011,54.022988505747115,2,2528.159398496239
2017-04,2303,340669.68,147.9243074250977,-9.544383346425766,3,2832.424812030074
2017-05,3545,489159.25,137.98568406205925,53.92965696917065,4,3136.690225563909
2017-06,3135,421923.37,134.58480701754385,-11.565585331452755,5,3440.9556390977436
2017-07,3872,481604.52,124.3813326446281,23.50877192982457,6,3745.2210526315785
2017-08,4193,554699.7,132.29184354877174,8.290289256198346,7,4049.486466165413
2017-09,4150,607399.67,146.36136626506024,-1.0255187216789863,8,4353.751879699248
2017-10,4478,648247.65,144.76276239392587,7.9036144578313205,9,4658.0172932330825
2017-11,7288,987648.0700000001,135.5170238748628,62.751228226887015,10,4962.282706766917
2017-12,5513,726033.1900000001,131.694756031199,-24.355104281009876,11,5266.548120300751
2018-01,7069,924645.0,130.80280096194653,28.224197351714132,12,5570.813533834586
2018-02,6555,826437.13,126.0773653699466,-7.271184043004664,13,5875.078947368422
2018-03,7003,953356.25,136.13540625446237,6.83447749809305,14,6179.344360902256
2018-04,6798,973534.09,143.2088982053545,-2.927316864201057,15,6483.60977443609
2018-05,6749,977544.6900000001,144.84289376203884,-0.7208002353633391,16,6787.875187969925
2018-06,6096,855591.97,140.35301345144356,-9.675507482590017,17,7092.140601503759
2018-07,6156,867486.47,140.91723034437948,0.9842519685039353,18,7396.406015037595
2018-08,6351,838576.64,132.03851991812314,3.1676413255360636,19,7700.67142857143
