customer_state,orders,revenue,percentage
AC,80,15930.97,0.08315748989116764
AL,396,78805.73,0.4116295749612798
AM,145,22155.84,0.15072295042774134
AP,67,13374.81,0.0696443977838529
BA,3253,493339.26,3.381391432699604
CE,1273,218107.7,1.3232435578932051
DF,2074,295454.64,2.155857925428521
ES,1992,267783.66,2.070621498290074
GO,1950,281932.21,2.026963816097211
MA,713,116305.12,0.7411411286550316
MG,11319,1548206.8800000001,11.76574535097658
MS,701,115429.97,0.7286675051713565
MT,885,152143.82,0.9199297319210419
PA,942,173382.99,0.9791794434684988
PB,516,112536.92,0.5363658097980313
PE,1587,250639.89,1.649636705716038
PI,475,84511.0,0.4937475962288078
PR,4903,664048.0,5.096514661704936
RJ,12310,1751433.85,12.795858757003419
RN,470,81376.97,0.48855025311060984
RO,243,45682.76,0.2525908755444217
RR,40,7017.7699999999995,0.04157874494558382
RS,5327,726194.92,5.537249358128125
SC,3537,504774.07,3.6766005218132487
SE,332,56288.74,0.3451035830483457
SP,40399,5054516.95,41.99349292641602
TO,274,48402.51,0.2848144028772492
